序号,优先级,章节,方剂名,出处,组成,用法,功用,主治,方义,配伍特点,注意/禁忌,《方剂学》页码,来源,QA状态,QA问题,定位标题,PDF页码,书内索引页码,页码类型,定位方法,原文片段文件
113,P0,第16章 祛痰剂,贝母瓜蒌散,《医学心悟》,贝母一钱五分（9g） 瓜蒌一钱（6g） 花粉 茯苓 橘红 桔梗各八分（各5g）,水煎服。,润肺清热，理气化痰。,燥痰咳嗽。咳嗽痰少，咯痰不爽，涩而难出，咽喉干燥，苔白而干。,方中贝母甘而性微寒，主入肺经，清热化痰，润肺止咳，为君药。瓜蒌功善清热涤痰，利气润燥，与贝母相须为用，增强清润化痰止咳之力，为臣药。佐以天花粉清肺生津，润燥化痰。张锡纯谓：“天花粉为其能生津止渴，故能润肺，化肺中燥痰，宁肺止嗽。”（《医学衷中参西录》） 茯苓健脾渗湿以祛痰，橘红理气化痰，使气顺痰消；桔梗宣利肺气，化痰止咳，使肺宣降有权，亦为佐药。诸药相伍，使肺得清润而燥痰自化，宣降有权而咳逆自平。《医学心悟》另有一贝母瓜蒌散，较本方少天……,重用甘寒，清润化痰而不伤津。,,P.274,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.480；书内索引页码 P.274,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,贝母瓜蒌散,P.480,P.274,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\113_贝母瓜蒌散.txt
114,P0,第16章 祛痰剂,苓甘五味姜辛汤,《金匮要略》,茯苓四两（12g） 甘草三两（9g） 干姜三两（9g） 细辛三两（3g） 五味子半升（5g）,上五味，以水八升，煮取三升，去滓，温服半升，日三服（现代用法：水煎服）。,温肺化饮。,寒饮咳嗽。咳嗽痰多，清稀色白，胸膈痞满，舌苔白滑，脉弦滑。,方中用干姜为君，入肺、脾经，既温肺化饮，又温脾化湿。细辛为方中臣药，温肺散寒化饮，助干姜温散凝聚之寒饮。仲景每以两味配伍以温阳化饮，其中干姜温热为主，温阳化饮之力强，细辛以辛散为主，开郁散饮之力优，两者相伍，温肺化饮之力倍增。茯苓健脾渗湿，既可化已聚之痰，又能杜生痰之源，亦为臣药。喘咳日久，必耗散肺气，方中诸药又是以辛散温燥之药为主，恐更伤肺气，故佐以五味子敛肺止咳，与干姜、细辛为伍，一散一收，开阖相济，散不伤正，收不留邪，既防辛散耗伤……,温散之中佐以酸收，开阖相济，温肺散饮。,,P.275,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.482；书内索引页码 P.275,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,苓甘五味姜辛汤,P.482,P.275,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\114_苓甘五味姜辛汤.txt
115,P0,第16章 祛痰剂,半夏白术天麻汤,《医学心悟》,半夏一钱五分（9g） 天麻 茯苓 橘红各一钱（各6g） 白术三钱（18g） 甘草五分（3g）,生姜一片，大枣二枚，水煎服（现代用法：加生姜1片，大枣2枚，水煎服）。,化痰息风，健脾祛湿。,风痰上扰证。眩晕，头痛，胸膈痞闷，恶心呕吐，舌苔白腻，脉弦滑。,本方乃二陈汤去乌梅，加天麻、白术、大枣而成。方中半夏辛温而燥，燥湿化痰，降逆止呕；天麻甘平而润，入肝经，善于平肝息风而止眩晕。二者配伍，长于化痰息风，“头旋眼花，非天麻、半夏不除”，共为君药。白术健脾燥湿； 茯苓健脾渗湿，以治生痰之本，与半夏、天麻配伍，加强化痰息风之效，共为臣药。橘红理气化痰，使气顺痰消，为佐药。使以甘草调药和中，煎加姜、枣以调和脾胃。诸药合用，共奏化痰息风、健脾祛湿之效。《医学心悟》另有一半夏白术天麻汤，较本方白术减……,“二陈”治痰之法伍息风之品，肝脾同调而成治风痰之剂。,,P.277；P.278,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.486；书内索引页码 P.277；P.278,同名/多出处需复核,方名索引存在多个页码/同名方，已抽取首个正文定位，需人工确认版本。；教材正文未抽到明确注意/禁忌句，需人工补核。,半夏白术天麻汤,P.486,P.277；P.278,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\115_半夏白术天麻汤.txt
116,P0,第17章 消食剂+驱虫剂,保和丸,《丹溪心法》,山楂六两（18g） 神曲二两（6g） 半夏 茯苓各三两（各9g） 陈皮 连翘 莱菔子各 一两（各3g）,上为末，炊饼为丸，如梧桐子大，每服七八十丸，食远白汤下（现代用法：共为末，水泛为丸，每服6～9g，温开水送下；亦可作汤剂，水煎服）。,消食化滞，理气和胃。,食积证。脘腹痞满胀痛，嗳腐吞酸，恶食呕逆，或大便泄泻，舌苔厚腻，脉滑。,方中以山楂为君药，可消一切饮食积滞，尤善消肉食油腻之积。臣以神曲消食健脾，更长于化酒食陈腐之积；莱菔子消食下气，长于消麦面痰气之积。三药同用，可消各种饮食积滞。佐以半夏、陈皮行气化滞，和胃止呕；茯苓健脾利湿，和中止泻。食积易于化热，故又佐以苦而微寒之连翘，既可散结以助消积，又可清解食积所生之热。全方合用，共奏消食和胃之功，使食积得化，脾胃调和，热清湿去，则诸症可愈。本方以消导为主，但作用平和。诚如《成方便读》所云：“此方虽纯用消导，毕竟……,消食之中兼以行气理脾，以消为主。,,P.281,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.492；书内索引页码 P.281,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,保和丸,P.492,P.281,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\116_保和丸.txt
117,P0,第17章 消食剂+驱虫剂,枳实导滞丸,《内外伤辨惑论》,大黄一两（30g） 枳实麸炒，去瓤 神曲炒，各五钱（各15g） 茯苓去皮 黄芩去腐 黄连拣净 白术各三钱（各9g） 泽泻二钱（6g）,上为细末，汤浸蒸饼为丸，如梧桐子大，每服五十丸至七十丸，温水送下，食远，量虚实加减服之（现代用法：共为细末，水泛小丸，每服6～9g，食后温开水送下，每日2次；亦可作汤剂，水煎服）。,消食导滞，清热祛湿。,湿热食积证。脘腹胀痛，大便秘结，或下痢泄泻，小便短赤，舌苔黄腻，脉沉有力。,方中以苦寒之大黄为君药，攻积泻热，使积滞湿热从大便而下。以苦辛微寒之枳实为臣，行气化滞，既助大黄攻积之力，又解气滞之腹满痞痛；神曲甘辛性温，消食健脾，使食消而脾胃得和。病属湿热，故佐苦寒之黄连、黄芩清热燥湿，且可厚肠止痢；茯苓、泽泻甘淡渗湿，使湿热从小便分消；白术甘苦性温，健脾燥湿，协苓、泽以祛湿，且可防大黄、枳实攻积伤正，以及芩、连苦寒败胃。诸药合用，使积去食消，湿化热清，对于湿热食积证较重者尤为适宜。此方用于湿热食滞之泄泻、下痢，亦……,下消清利合法，以下助消，消中寓补。,,P.282,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.493；书内索引页码 P.282,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,枳实导滞丸,P.493,P.282,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\117_枳实导滞丸.txt
118,P0,第17章 消食剂+驱虫剂,健脾丸,《证治准绳》,白术炒，二两半（15g） 木香另研 黄连酒炒 甘草各七钱半（各6g） 白茯苓去皮，二两（10g） 人参一两五钱（9g） 神曲炒 陈皮 砂仁 麦芽炒 山楂取肉 山药 肉豆蔻面裹，纸包槌去 油，各一两（各6g）,上共为细末，蒸饼为丸，如绿豆大，每服五十丸，空心服，一日二次，陈米汤下（现代用法：共为细末，糊丸或水泛小丸，每服6～9g，温开水送下，日2次；亦可作汤剂，水煎服）。,健脾和胃，消食止泻。,脾虚食积证。食少难消，脘腹痞闷，大便溏薄，倦怠乏力，苔腻微黄，脉虚弱。,本方人参、白术、茯苓用量居多，重在补气健脾运湿以止泻，共用为君。臣以山楂、神曲、麦芽消食和胃，除已停之积。再佐肉蔻、山药健脾止泻；木香、砂仁、陈皮理气开胃，醒脾化湿，且使全方补而不滞；黄连清热燥湿，以除食积所生之热。甘草补中和药，是为佐使之用。诸药共用，使脾健、食消、气畅、热清、湿化。因方中四君子汤及山药等补气健脾之品居多，使脾健运而食积消，食积消则脾自健，故取名“健脾丸”。,消补兼施，补重于消，补而不滞，消中寓清。,,P.284,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.497；书内索引页码 P.284,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。,健脾丸,P.497,P.284,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\118_健脾丸.txt
119,P0,第17章 消食剂+驱虫剂,乌梅丸,《伤寒论》,乌梅三百枚（30g） 细辛六两（3g） 干姜十两（9g） 黄连十六两（9g） 当归四两（6g） 附子炮，去皮，六两（6g） 蜀椒炒香，四两（5g） 桂枝六两（6g） 人参六两（6g） 黄柏六两（6g）,上十味，异捣筛，合治之。以苦酒渍乌梅一宿，去核，蒸之五斗米下，饭熟，捣成泥，和药令相得，内臼中，与蜜杵两千下，丸如梧桐子大，每服十丸，食前以饮送下，日三服，稍加至二十丸。禁生冷、滑物、臭食等（现代用法：乌梅用醋浸一宿，去核打烂，和余药打匀，烘干或晒干，研成细末，加蜜制丸，每服9g，日2～3次，空腹温开水送下；亦可作汤剂，水煎服）。,温脏安蛔。,蛔厥证。腹痛时作，手足厥冷，烦闷呕吐，时发时止，得食即呕，常自吐蛔。亦治久泻、久痢。,柯琴言：“蛔得酸则静，得辛则伏，得苦则下。”故重用味酸之乌梅以安蛔，使蛔静痛止，为君药。蛔动因于肠寒胃热，故以味辛性温之蜀椒、细辛，温脏而驱蛔；味苦性寒之黄连、黄柏，清热而下蛔，共为臣药。附子、干姜、桂枝助其温脏祛寒、伏蛔之力；蛔虫久积脏腑，必耗伤气血，故以人参、当归益气补血，扶助正气，与桂、附、姜相配，既可养血通脉，以除四肢厥冷，亦有利于温脏安蛔，合为佐药。炼蜜为丸，甘缓和中，为使药。诸药合用，共奏温脏安蛔、扶正祛邪之功。对于胃热肠寒……,酸苦辛并进，则蛔静伏而下；寒热佐甘温，则和肠胃扶正。,禁生冷、滑物、臭食等（现代用法：乌梅用醋浸一宿，去核打烂，和余药打匀，烘干或晒干，研成细末，加蜜制丸，每服9g，日2～3次，空腹温开水送下,P.287,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.501；书内索引页码 P.287,已从教材PDF抽取待人工复核,字段来自教材PDF文本抽取，训练前仍需人工核对剂量与页码。,乌梅丸,P.501,P.287,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets\119_乌梅丸.txt
120,P1,第16章 祛湿剂,一加减正气散,《温病条辨》,藿香梗二钱（6g） 厚朴二钱（6g） 杏仁二钱（6g） 茯苓皮二钱（6g） 广皮一钱（3g） 神曲一钱五分（4.5g） 麦芽一钱五分（4.5g） 绵茵陈二钱（6g） 大腹皮一钱（3g）,水五杯，煮二杯，再服。,芳香化浊，行气导滞。,三焦湿郁，升降失司，脘连腹胀，大便不爽。,,,,P.242,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.426；书内索引页码 P.242,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,一加减正气散,P.426,P.242,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\120_一加减正气散.txt
121,P1,第8章 补益剂,一贯煎,《续名医类案》,北沙参 麦冬 当归身（各9g） 生地黄（18g） 枸杞子（9g） 川楝子（6g）（原著本方 无用量）,水煎服。,滋阴疏肝。,肝肾阴虚，肝气郁滞证。胸脘胁痛，吞酸吐苦，咽干口燥，舌红少津，脉细弱或虚弦。亦治疝气瘕聚。,方中重用生地黄为君药，滋养肝阴，涵养肝木。臣以枸杞子滋养肝肾；当归补血养肝，且补中有行；沙参、麦冬滋养肺胃之阴，养肺阴以清金制木，养胃阴以培土荣木。少佐一味辛凉之川楝子疏肝泄热，理气止痛，顺其条达之性，而无劫阴之弊。诸药合用，则肝阴得补，肝气得舒，则诸症自愈。,肝肾肺胃兼顾，旨在涵木；甘寒少佐辛疏，以适肝性。,,P.140,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.263；书内索引页码 P.140,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,一贯煎,P.263,P.140,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets_300\121_一贯煎.txt
122,P1,第16章 祛湿剂,二加减正气散,《温病条辨》,藿香梗三钱（6g） 广皮二钱（6g） 厚朴二钱（6g） 茯苓皮三钱（9g） 木防己三钱（9g） 大豆黄卷二钱（6g） 川通草一钱五分（4.5g） 薏苡仁三钱（9g）,水八杯，煮三杯，三次服。,化浊利湿，行气通络。,湿郁三焦，脘闷，便溏，身痛，舌白，脉象模糊。,,,,P.242,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.426；书内索引页码 P.242,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,二加减正气散,P.426,P.242,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\122_二加减正气散.txt
123,P1,第16章 祛湿剂,二妙散,《丹溪心法》,黄柏炒 苍术米泔水浸，炒（各15g）（原著本方无用量）,上二味为末，沸汤，入姜汁调服（现代用法：二药等分，研细末和匀，每次3～6g；或制成丸剂，每次6g；亦可作汤剂，水煎服）。,清热燥湿。,湿热下注证。筋骨疼痛，或两足痿软，或足膝红肿疼痛，或湿热带下，或下部湿疮，小便短赤，舌苔黄腻。,方中黄柏寒凉苦燥，其性沉降，擅清下焦湿热，为君药。苍术辛苦而温，其性燥烈，一则健脾助运以治生湿之本，一则芳化苦燥以除湿阻之标，为臣药。“苍术妙于燥湿，黄柏妙于去热”（《医方考》），且二药互制其苦寒或温燥之性，以防败胃伤津之虞。再入姜汁少许调药，既可藉其辛散以助祛湿，亦可防黄柏苦寒伤中。,苦寒温燥相制，长于下焦，药简效专。,,P.252,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.443；书内索引页码 P.252,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,二妙散,P.443,P.252,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets_300\123_二妙散.txt
124,P1,第8章 补益剂,十补丸,《济生方》,附子炮，去皮、脐 五味子各二两（各9g） 山茱萸取肉 山药锉，炒 牡丹皮去木 鹿茸去毛，酒蒸 熟地黄酒蒸 肉桂去皮，不见火 白茯苓去皮 泽泻各一两（各4.5g）,上为细末，炼蜜为丸，如梧桐子大，每服七十丸，空心盐酒、盐汤任下。,补肾阳，益精血。,肾阳虚损，精血不足证。症见面色黧黑，足冷足肿，耳鸣耳聋，肢体羸瘦，足膝软弱，小便不利，腰脊疼痛，或阳痿，遗精，舌淡苔白，脉沉迟尺弱。,,,,P.143,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.265；书内索引页码 P.143,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,十补丸,P.265,P.143,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\124_十补丸.txt
125,P1,第17章 祛痰剂,十味温胆汤,《世医得效方》,半夏汤洗七次 枳实去瓤切，麸炒 陈皮去白，各三两（各9g） 白茯苓去皮，两半（4.5g） 酸枣仁微炒 大远志去心，甘草,水煮，姜汁炒 北五味子 熟地黄切，酒炒 条参各一两（各3g） 粉草五钱（1.5g） 上锉散，每服四钱，水盏半，姜五片，枣一枚，煎，不以时服。,化痰宁心，益气养血。,痰浊内扰，心胆虚怯证。症见触事易惊，心悸不宁，不眠多梦，心胸烦,,,,P.270,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.471；书内索引页码 P.270,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,十味温胆汤,P.471,P.270,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\125_十味温胆汤.txt
126,P1,第12章 理气剂,丁香柿蒂汤,《症因脉治》,丁香（6g） 柿蒂（9g） 人参（3g） 生姜（6g）（原著本方无用量）,水煎服。,降逆止呃，温中益气。,胃气虚寒之呃逆。呃逆不已，胸脘痞闷，舌淡苔白，脉沉迟。,方中丁香辛温芳香，温中散寒、降逆止呃，是治疗胃寒呃逆之要药，用为君药。柿蒂苦平，善降胃气；生姜辛温，降逆止呕，为呕家之圣药。二药与君药相伍，则温胃降逆之功尤著，共为臣药。因胃气亏虚，故配人参甘温益气、补虚养胃为佐。四药配伍，共奏降逆止呃、温中益气之功。,降温补并用，主以温降，温而不热，补而不滞。,,P.196,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.354；书内索引页码 P.196,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,丁香柿蒂汤,P.354,P.196,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets_300\126_丁香柿蒂汤.txt
127,P1,第12章 理气剂,丁香柿蒂散,《卫生宝鉴》,丁香（6g） 柿蒂（9g） 青皮（6g） 陈皮（6g）各等分,上为粗末，每服三钱，水一盏半，煎至七分，去渣。温服，无时。,降逆止呃，行气温中。,诸种呃噫、呕吐痰涎。,,,,P.197,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.353；书内索引页码 P.197,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,丁香柿蒂散,P.353,P.197,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\127_丁香柿蒂散.txt
128,P1,第8章 补益剂,七味白术散,《小儿药证直诀》,人参二钱五分（7g） 白茯苓五钱（15g） 白术五钱（15g） 藿香叶五钱（15g） 木香二钱（6g） 甘草一钱（3g） 葛根五钱，渴者加至一两 （15～30g）,上药为粗末。每服三钱，水煎服。,健脾止泻。,脾胃久虚，呕吐泄泻，频作不止，津液枯竭，口渴烦躁，但欲饮水，乳食不进，羸瘦困劣。,,,,P.124,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.234；书内索引页码 P.124,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,七味白术散,P.234,P.124,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\128_七味白术散.txt
129,P1,第8章 补益剂,七宝美髯丹,《本草纲目》引《积善堂方》,赤白何首乌米泔水浸三四日，瓷片刮去皮，用淘净黑豆二升，以砂锅木甑，铺豆及首乌，重重铺盖蒸之。豆熟，取出去豆，曝干，换豆再蒸，如此九次，曝干为末，各一斤（各500g） 赤白茯苓去皮，研末，以水淘去筋膜及浮者，取沉者捻块，以人乳十碗浸匀，晒干研末，各一斤（各500g） 牛膝去苗，酒浸一日，同何首乌第七次蒸之，至第九次止，晒干，八两（250g） 当归酒浸，晒，八两（250g） 枸杞子酒浸，晒，八两（250g） 菟丝子酒浸生芽，研烂，晒，八两（250g） 补骨脂以黑脂麻炒香，四两（120g）,石臼为末，炼蜜和丸弹子大，一百五十丸，每日三丸，清晨温酒下，午时姜汤下，卧时盐汤下（现代用法：为蜜丸，每服9g，日2服，淡盐水送服）。,补益肝肾，乌发壮骨。,肝肾不足证。须发早白，脱发，齿牙动摇，腰膝酸软，梦遗滑精，肾虚不育等。,方中重用赤、白何首乌补肝肾，益精血，乌须发，壮筋骨，为君药。赤、白茯苓补脾益气，宁心安神，以人乳制用，其滋补之力尤佳，《随息居饮食谱》谓人乳能“补血、充液、填精、化气、生肌、安神、益智”，而为臣药。佐以枸杞子、菟丝子补肝肾，益精血；当归补血养肝；牛膝补肝肾，坚筋骨，活血脉。上四味皆用酒浸，以助药力上行之势。少佐补骨脂补肾温阳，固精止遗。诸药相合，补肝肾，益精血，壮筋骨，乌须发，故以“美髯”名之。是方之证属肝肾不足，肾精失充。所用之药，虽……,平补肝肾，滋补精血，佐以温阳，久服无偏胜之弊。,,P.147,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.275；书内索引页码 P.147,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,七宝美髯丹,P.275,P.147,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets_300\129_七宝美髯丹.txt
130,P1,第13章 理血剂,七厘散,《同寿录》,上朱砂水飞净，一钱二分（3.6g） 真麝香一分二厘（0.36g） 梅花冰片一分二厘（0.36g） 净乳香一钱五分（4.5g） 红花一钱五分（4.5g） 明没药一钱五分（4.5g） 瓜儿血竭一两（30g） 粉口儿茶二钱四分（7.2g）,上为极细末，瓷瓶收贮，黄蜡封口，贮久更妙。治外伤，先以药七厘（0.5～1g），烧酒冲服，复用药以烧酒调敷伤处。如金刃伤重，急用此药干掺（现代用法：共研极细末，密闭储存备用。每服0.22～1.5g，黄酒或温开水送服；外用适量，以酒调敷伤处）。,散瘀消肿，定痛止血。,跌打损伤，筋断骨折之瘀血肿痛，或刀伤出血。并治无名肿毒，烧伤烫伤等。,方中重用血竭，专入血分，活血散瘀止痛，且能收敛止血，为君药。以红花活血祛瘀；乳香、没药祛瘀行气，消肿止痛；并配伍辛香走窜之麝香、冰片，以加强活血通络、散瘀止痛之力，共为臣药。儿茶性味凉涩，以助收敛止血，并治疮肿；跌仆受惊，每致心悸不宁，故朱砂定惊安神，且可清热解毒，以为佐药。诸药合用，共奏散瘀消肿、定痛止血之功。,活血止血并施，内服外敷通用。,,P.204,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.367；书内索引页码 P.204,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,七厘散,P.367,P.204,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets_300\130_七厘散.txt
131,P1,第8章 补益剂,人参蛤蚧散,《博济方》,蛤蚧新好者，用汤洗十遍，慢火内炙令香，研细末，一对（30g） 人参 茯苓 知母 贝母去心，煨过，汤洗 桑白皮各二两（各6g） 甘草炙，五两（15g） 大杏仁汤洗，去皮尖，烂煮令香，取出，研，六两（18g）,上为细末，入杏仁拌匀研细。每服半钱，加生姜二片，酥少许，水八分，煎沸热服。如以汤点频服亦妙（现代用法：散剂，每服6g，日2次；亦可作汤剂，水煎服）。,补肺益肾，止咳定喘。,肺肾气虚，痰热咳喘证。咳嗽气喘，呼多吸少，声音低怯，痰稠色黄，或咳吐脓血，胸中烦热，身体羸瘦，或遍身浮肿，脉浮虚。,方中蛤蚧血肉有情，甘咸微温，入肺肾，为补肺肾、定喘嗽之峻品，合人参大补肺脾之气，二药相伍，补虚定喘之力彰，共为君药。重用杏仁，降肺气以平喘；茯苓健脾渗湿，以杜生痰之源；重用炙甘草益气补中，合茯苓助君补虚健脾以生金，共为臣药。佐以桑白皮、知母、贝母清肺润燥，化痰止咳；桑白皮配杏仁又能宣肃肺气，通调水道，合茯苓之渗利，利水湿以消水肿。甘草调和诸药，亦为使药。诸药相伍，共成补肺肾、化痰热、定喘嗽之功。,肺脾肾同调，重在肺肾；补清降共施，主以补降。【辨证要点】 本方为治疗肺肾两虚，痰热咳喘之常用方。以咳嗽气喘，痰稠色黄，脉浮虚为辨证要点。,,P.128,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.243；书内索引页码 P.128,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,人参蛤蚧散（原名蛤蚧散）,P.243,P.128,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets_300\131_人参蛤蚧散.txt
132,P1,第17章 祛痰剂,三子养亲汤,《韩氏医通》,白芥子（9g） 紫苏子（9g） 莱菔子（9g）（原著本方无用量）,上三味各洗净，微炒，击碎。看何证多，则以所主者为君，余次之。每剂不过三钱（9g），用生绢小袋盛之，煮作汤饮，随甘旨代茶水啜用，不宜煎熬太过（现代用法：三药捣碎，用纱布包裹，煎汤频服，不宜煎煮太过）。,温肺化痰，降气消食。,痰壅气逆食滞证。咳嗽喘逆，痰多胸痞，食少难消，舌苔白腻，脉滑。,方中白芥子温肺化痰，利气畅膈；苏子降气消痰，止咳平喘；莱菔子消食导滞，降气祛痰。三药均属消痰理气之品，但白芥子豁痰力强，苏子以降气为长，而莱菔子消食独胜。合而用之，可使气顺痰消，食积得化，则咳喘自平。临证根据痰壅、气逆、食滞三者轻重而酌定君药之量，余者减量为臣佐之属。韩氏自述：“夫三子者，出自老圃，其性度和平芬畅，善佐饮食奉养，使人亲有勿药之喜，是以仁者取焉。老吾老以及人之老，其利博矣。”故取名“三子养亲”。,祛痰理气消食共用，为药简治标之剂。,每剂不过三钱（9g），用生绢小袋盛之，煮作汤饮，随甘旨代茶水啜用，不宜煎熬太过（现代用法：三药捣碎，用纱布包裹，煎汤频服，不宜煎煮太过）。 本方为治标之剂，不宜久服，待症状缓解，则当标本兼顾。,P.276,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.484；书内索引页码 P.276,已从教材PDF抽取待人工复核,P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,三子养亲汤,P.484,P.276,PDF页码+书内索引页码,全文标题定位,D1_formula_snippets_300\132_三子养亲汤.txt
133,P1,第14章 治风剂,三甲复脉汤,《温病条辨》,炙甘草六钱（18g） 干地黄六钱（18g） 生白芍六钱（18g） 麦冬不去心，五钱（15g） 阿胶三钱（9g） 麻仁三钱（9g） 生牡蛎五钱（15g） 生鳖甲八钱（24g） 生龟板一两（30g）,水八杯，煮取三杯，分三次服。,滋阴复脉，潜阳息风。,温病热邪久羁下焦，热深厥甚。脉细促，心中憺憺大动，甚者心中痛。或手足蠕动者。,,,,P.227,《方剂学》第十版（邓中甲主编，人民卫生出版社，2016，ISBN 9787117218900）；PDF页码 P.401；书内索引页码 P.227,注意/禁忌待补核,教材正文未抽到明确注意/禁忌句，需人工补核。；P1扩展条目由书后方名索引自动抽取，训练前需人工逐条核对。,三甲复脉汤,P.401,P.227,PDF页码+书内索引页码,附方段落定位,D1_formula_snippets_300\133_三甲复脉汤.txt
